source,periodType,date,instrument,period,price,ws
OCEAN,Months,2025-06-20,TD25,2026-11-01,23.68,109.99
OCEAN,Months,2025-06-20,TD25,2026-12-01,23.68,109.99
OCEAN,Months,2025-06-20,TD25,2027-01-01,22.28,103.48
OCEAN,Months,2025-06-20,TD25,2027-02-01,22.28,103.48
OCEAN,Months,2025-06-20,TD25,2027-03-01,22.28,103.48
OCEAN,Months,2025-06-20,TD25,2027-04-01,22.28,103.48
OCEAN,Months,2025-06-20,TD25,2027-05-01,22.28,103.48
OCEAN,Months,2025-06-20,TD25,2027-06-01,22.28,103.48
OCEAN,Months,2025-06-20,TD25,2027-07-01,22.28,103.48
OCEAN,Months,2025-06-20,TD25,2027-08-01,22.28,103.48
OCEAN,Months,2025-06-20,TD25,2027-09-01,22.28,103.48
OCEAN,Months,2025-06-20,TD25,2027-10-01,22.28,103.48
OCEAN,Months,2025-06-20,TD25,2027-11-01,22.28,103.48
OCEAN,Months,2025-06-20,TD25,2027-12-01,22.28,103.48
OCEAN,Spot,2025-06-23,TD3C,2025-06-01,19.7084,91.35
OCEAN,Balmo,2025-06-23,TD3C,2025-06-01,19.97,92.52
OCEAN,Months,2025-06-23,TD3C,2025-06-01,14.25,66.05
OCEAN,Months,2025-06-23,TD3C,2025-07-01,14.24,66.0
OCEAN,Months,2025-06-23,TD3C,2025-08-01,12.95,60.0
OCEAN,Spot,2025-06-23,TD20,2025-06-01,15.9404,93.89
OCEAN,Balmo,2025-06-23,TD20,2025-06-01,17.38,102.36
OCEAN,Months,2025-06-23,TD20,2025-06-01,15.28,90.0
OCEAN,Months,2025-06-23,TD20,2025-07-01,15.62,92.0
OCEAN,Months,2025-06-23,TD20,2025-08-01,14.09,83.0
OCEAN,Spot,2025-06-23,TD22,2025-06-01,31.48,8.5
OCEAN,Balmo,2025-06-23,TD22,2025-06-01,31.1852,8.42
OCEAN,Months,2025-06-23,TD22,2025-06-01,26.2963,7.1
OCEAN,Months,2025-06-23,TD22,2025-07-01,28.8889,7.8
OCEAN,Months,2025-06-23,TD22,2025-08-01,27.7778,7.5
OCEAN,Spot,2025-06-23,TD25,2025-06-01,32.47,150.8
OCEAN,Balmo,2025-06-23,TD25,2025-06-01,31.78,147.6
OCEAN,Months,2025-06-23,TD25,2025-06-01,31.93,148.3
