period,oldName,newName,periodType
Spot,spot,spot,Spot
Balmo,balmo,balmo,Balmo
q3-25,25Q3,7/1/2025,Quarters
q4-25,25Q4,10/1/2025,Quarters
q1-26,26Q1,1/1/2026,Quarters
q2-26,26Q2,4/1/2026,Quarters
q3-26,26Q3,7/1/2026,Quarters
q4-26,26Q4,10/1/2026,Quarters
q1-27,27Q1,1/1/2027,Quarters
q2-27,27Q2,4/1/2027,Quarters
q3-27,27Q3,7/1/2027,Quarters
q4-27,27Q4,10/1/2027,Quarters
q1-28,28Q1,1/1/2028,Quarters
q2-28,28Q2,4/1/2028,Quarters
q3-28,28Q3,7/1/2028,Quarters
q4-28,28Q4,10/1/2028,Quarters
q1-29,29Q1,1/1/2029,Quarters
q2-29,29Q2,4/1/2029,Quarters
q3-29,29Q3,7/1/2029,Quarters
q4-29,29Q4,10/1/2029,Quarters
q1-30,30Q1,1/1/2030,Quarters
q2-30,30Q2,4/1/2030,Quarters
q3-30,30Q3,7/1/2030,Quarters
q4-30,30Q4,10/1/2030,Quarters
Cal-15,C15,1/1/2015,Years
Cal-16,C16,1/1/2016,Years
Cal-17,C17,1/1/2017,Years
Cal-18,C18,1/1/2018,Years
Cal-19,C19,1/1/2019,Years
Cal-20,C20,1/1/2020,Years
Cal-21,C21,1/1/2021,Years
Cal-22,C22,1/1/2022,Years
Cal-23,C23,1/1/2023,Years
Cal-24,C24,1/1/2024,Years
Cal-25,C25,1/1/2025,Years
Cal-26,C26,1/1/2026,Years
Cal-27,C27,1/1/2027,Years
Cal-28,C28,1/1/2028,Years
Cal-29,C29,1/1/2029,Years
Cal-30,C30,1/1/2030,Years
Cal-31,C31,1/1/2031,Years
Cal-32,C32,1/1/2032,Years
Cal-33,C33,1/1/2033,Years
Cal-34,C34,1/1/2034,Years
Cal-35,C35,1/1/2035,Years
